inFFT[0].re, 0x00003800,
inFFT[0].im, 0x00000000,
inFFT[1].re, 0x00003400,
inFFT[1].im, 0x00000000,
inFFT[2].re, 0x00001C00,
inFFT[2].im, 0x00000000,
inFFT[3].re, 0xFFFFF000,
inFFT[3].im, 0x00000000,
inFFT[4].re, 0xFFFFC800,
inFFT[4].im, 0x00000000,
inFFT[5].re, 0xFFFFB400,
inFFT[5].im, 0x00000000,
inFFT[6].re, 0xFFFFB400,
inFFT[6].im, 0x00000000,
inFFT[7].re, 0xFFFFCC00,
inFFT[7].im, 0x00000000,
inFFT[8].re, 0xFFFFF800,
inFFT[8].im, 0x00000000,
inFFT[9].re, 0x00002000,
inFFT[9].im, 0x00000000,
inFFT[10].re, 0x00003800,
inFFT[10].im, 0x00000000,
inFFT[11].re, 0x00003400,
inFFT[11].im, 0x00000000,
inFFT[12].re, 0x00001C00,
inFFT[12].im, 0x00000000,
inFFT[13].re, 0xFFFFF000,
inFFT[13].im, 0x00000000,
inFFT[14].re, 0xFFFFCC00,
inFFT[14].im, 0x00000000,
inFFT[15].re, 0xFFFFB000,
inFFT[15].im, 0x00000000,
inFFT[16].re, 0xFFFFB400,
inFFT[16].im, 0x00000000,
inFFT[17].re, 0xFFFFCC00,
inFFT[17].im, 0x00000000,
inFFT[18].re, 0xFFFFF400,
inFFT[18].im, 0x00000000,
inFFT[19].re, 0x00001C00,
inFFT[19].im, 0x00000000,
inFFT[20].re, 0x00003800,
inFFT[20].im, 0x00000000,
inFFT[21].re, 0x00003400,
inFFT[21].im, 0x00000000,
inFFT[22].re, 0x00001C00,
inFFT[22].im, 0x00000000,
inFFT[23].re, 0xFFFFF000,
inFFT[23].im, 0x00000000,
inFFT[24].re, 0xFFFFCC00,
inFFT[24].im, 0x00000000,
inFFT[25].re, 0xFFFFB000,
inFFT[25].im, 0x00000000,
inFFT[26].re, 0xFFFFB400,
inFFT[26].im, 0x00000000,
inFFT[27].re, 0xFFFFD000,
inFFT[27].im, 0x00000000,
inFFT[28].re, 0xFFFFF800,
inFFT[28].im, 0x00000000,
inFFT[29].re, 0x00002000,
inFFT[29].im, 0x00000000,
inFFT[30].re, 0x00003800,
inFFT[30].im, 0x00000000,
inFFT[31].re, 0x00003400,
inFFT[31].im, 0x00000000,
inFFT[32].re, 0x00001C00,
inFFT[32].im, 0x00000000,
inFFT[33].re, 0xFFFFF000,
inFFT[33].im, 0x00000000,
inFFT[34].re, 0xFFFFCC00,
inFFT[34].im, 0x00000000,
inFFT[35].re, 0xFFFFB000,
inFFT[35].im, 0x00000000,
inFFT[36].re, 0xFFFFB400,
inFFT[36].im, 0x00000000,
inFFT[37].re, 0xFFFFD000,
inFFT[37].im, 0x00000000,
inFFT[38].re, 0xFFFFF800,
inFFT[38].im, 0x00000000,
inFFT[39].re, 0x00002000,
inFFT[39].im, 0x00000000,
inFFT[40].re, 0x00003800,
inFFT[40].im, 0x00000000,
inFFT[41].re, 0x00003400,
inFFT[41].im, 0x00000000,
inFFT[42].re, 0x00001800,
inFFT[42].im, 0x00000000,
inFFT[43].re, 0xFFFFF000,
inFFT[43].im, 0x00000000,
inFFT[44].re, 0xFFFFC800,
inFFT[44].im, 0x00000000,
inFFT[45].re, 0xFFFFB400,
inFFT[45].im, 0x00000000,
inFFT[46].re, 0xFFFFB400,
inFFT[46].im, 0x00000000,
inFFT[47].re, 0xFFFFCC00,
inFFT[47].im, 0x00000000,
inFFT[48].re, 0xFFFFF400,
inFFT[48].im, 0x00000000,
inFFT[49].re, 0x00001C00,
inFFT[49].im, 0x00000000,
inFFT[50].re, 0x00003800,
inFFT[50].im, 0x00000000,
inFFT[51].re, 0x00003400,
inFFT[51].im, 0x00000000,
inFFT[52].re, 0x00001C00,
inFFT[52].im, 0x00000000,
inFFT[53].re, 0xFFFFF000,
inFFT[53].im, 0x00000000,
inFFT[54].re, 0xFFFFCC00,
inFFT[54].im, 0x00000000,
inFFT[55].re, 0xFFFFB000,
inFFT[55].im, 0x00000000,
inFFT[56].re, 0xFFFFB400,
inFFT[56].im, 0x00000000,
inFFT[57].re, 0xFFFFD000,
inFFT[57].im, 0x00000000,
inFFT[58].re, 0xFFFFF800,
inFFT[58].im, 0x00000000,
inFFT[59].re, 0x00002000,
inFFT[59].im, 0x00000000,
inFFT[60].re, 0x00003800,
inFFT[60].im, 0x00000000,
inFFT[61].re, 0x00003400,
inFFT[61].im, 0x00000000,
inFFT[62].re, 0x00001C00,
inFFT[62].im, 0x00000000,
inFFT[63].re, 0xFFFFF000,
inFFT[63].im, 0x00000000,
inFFT[64].re, 0xFFFFCC00,
inFFT[64].im, 0x00000000,
inFFT[65].re, 0xFFFFB000,
inFFT[65].im, 0x00000000,
inFFT[66].re, 0xFFFFB800,
inFFT[66].im, 0x00000000,
inFFT[67].re, 0xFFFFCC00,
inFFT[67].im, 0x00000000,
inFFT[68].re, 0xFFFFF800,
inFFT[68].im, 0x00000000,
inFFT[69].re, 0x00002000,
