S.No,Channel 1 - Source Symbol: inBuffer1,Channel 2 - Source Symbol: inBuffer2,Channel 3 - Source Symbol: outBuffer1,Channel 4 - Source Symbol: outBuffer2,
0,-1,-5,-1,4,
1,-4,1,-4,-7,
2,4,0,4,4,
3,-7,-5,-7,-4,
4,3,5,3,-1,
5,-4,-7,-4,2,
6,-2,4,-2,-6,
7,2,-3,2,5,
8,-7,-2,-7,-6,
9,5,3,5,1,
10,-6,-7,-6,-1,
11,1,5,1,-4,
12,-1,-6,-1,4,
13,-5,1,-5,-7,
14,4,0,4,4,
15,-7,-5,-7,-4,
16,3,4,3,-1,
17,-4,-7,-4,2,
18,-1,4,-1,-6,
19,3,-3,3,5,
20,-6,-2,-6,-6,
21,5,3,5,1,
22,-6,-7,-6,-1,
23,2,5,2,-4,
24,-1,-6,-1,4,
25,-4,1,-4,-7,
26,4,0,4,4,
27,-7,-4,-7,-4,
28,4,4,4,-1,
29,-4,-7,-4,2,
30,-1,3,-1,-7,
31,3,-3,3,5,
32,-6,-2,-6,-6,
33,5,3,5,2,
34,-6,-6,-6,-1,
35,2,5,2,-4,
36,-1,-6,-1,4,
37,-4,1,-4,-7,
38,4,0,4,4,
39,-7,-4,-7,-4,
40,4,4,4,-1,
41,-4,-7,-4,2,
42,-1,4,-1,-6,
43,2,-4,2,5,
44,-6,-2,-6,-6,
45,4,2,4,2,
46,-6,-6,-6,-1,
47,2,5,2,-4,
48,-1,-6,-1,4,
49,-4,1,-4,-7,
50,4,0,4,4,
51,-7,-4,-7,-4,
52,4,4,4,-1,
53,-4,-7,-4,2,
54,-1,4,-1,-6,
55,2,-4,2,5,
56,-6,-1,-6,-6,
57,5,2,5,2,
58,-6,-6,-6,-1,
59,1,5,1,-4,
60,-1,-6,-1,4,
61,-4,1,-4,-7,
62,4,-1,4,4,
63,-7,-4,-7,-4,
64,4,4,4,-1,
65,-4,-7,-4,2,
66,-1,4,-1,-6,
67,3,-4,3,5,
68,-6,-1,-6,-7,
69,5,2,5,2,
70,-6,-7,-6,-1,
71,2,5,2,-4,
72,-1,-6,-1,4,
73,-4,1,-4,-7,
74,4,-1,4,4,
75,-7,-4,-7,-4,
76,4,4,4,-1,
77,-4,-7,-4,1,
78,-1,4,-1,-6,
79,1,-4,1,5,
80,-6,-2,-6,-7,
81,5,2,5,2,
82,-6,-6,-6,-1,
83,2,5,2,-4,
84,-1,-6,-1,4,
85,-4,1,-4,-7,
86,4,-1,4,4,
87,-7,-4,-7,-4,
88,4,4,4,-1,
89,-4,-7,-4,1,
90,-1,4,-1,-6,
91,2,-4,2,5,
92,-7,-1,-7,-6,
93,5,2,5,2,
94,-7,-6,-7,-1,
95,2,5,2,-4,
96,-1,-6,-1,4,
97,-4,1,-4,-7,
98,4,-1,4,4,
